time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2021-08-25T01:49:11.430Z,17.9515,-67.0175,10,3.08,md,23,217,0.0322,0.12,pr,pr2021237001,2021-08-25T04:01:48.770Z,"4 km SE of La Parguera, Puerto Rico",earthquake,0.56,0.37,0.35,20,reviewed,pr,pr
2021-08-25T01:49:03.605Z,-6.4403,130.0525,138.34,4.5,mb,,93,1.969,0.74,us,us7000f3h0,2021-08-25T02:05:03.040Z,"Banda Sea",earthquake,7.1,4.7,0.113,23,reviewed,us,us
2021-08-25T01:36:51.790Z,59.6888,-151.3862,40.3,3,ml,,,,0.76,ak,ak021avz6iex,2021-08-25T01:59:50.115Z,"3 km NE of Kachemak, Alaska",earthquake,,0.6,,,automatic,ak,ak
2021-08-25T01:31:27.172Z,55.4528,-158.4785,9.5,4.5,ml,,,,0.52,ak,ak021avz5du4,2021-08-25T08:00:55.060Z,"66 km SE of Perryville, Alaska",earthquake,,0.4,,,reviewed,ak,ak
2021-08-25T00:53:38.651Z,-22.8528,-66.8477,199.57,4.3,mb,,67,1.231,0.9,us,us7000f3g3,2021-08-25T19:57:07.628Z,"119 km W of Abra Pampa, Argentina",earthquake,8.4,5.2,0.095,31,reviewed,us,us
2021-08-25T00:49:57.116Z,-59.7003,-26.4724,35,4.7,mb,,50,14.925,1.2,us,us7000f3gi,2021-08-25T02:35:40.040Z,"South Sandwich Islands region",earthquake,4.6,1.9,0.087,40,reviewed,us,us
2021-08-25T00:45:19.770Z,17.8563,-66.8898,11,3.62,md,25,225,0.1914,0.27,pr,pr2021237000,2021-08-26T23:03:57.953Z,"12 km S of Guánica, Puerto Rico",earthquake,0.69,0.61,0.09,17,reviewed,pr,pr
2021-08-25T00:39:02.561Z,-58.5044,-23.65,10,5.1,mb,,78,8.278,0.86,us,us7000f3fz,2021-08-25T00:57:43.040Z,"South Sandwich Islands region",earthquake,6,1.9,0.074,60,reviewed,us,us
2021-08-25T00:28:32.582Z,-27.5041,-69.259,99.2,5,mww,,40,0.676,1.15,us,us7000f3fn,2021-08-25T19:43:56.815Z,"107 km E of Copiapó, Chile",earthquake,5.2,5.4,0.08,15,reviewed,us,us
2021-08-24T23:30:09.311Z,55.1511,-157.5896,0,3.1,ml,,,,0.65,ak,ak021auopbyl,2021-08-25T00:06:03.040Z,"129 km SE of Perryville, Alaska",earthquake,,0.4,,,automatic,ak,ak
